,datetime,load_area,mkt_region,zone,mw,dt,md,wday,mw_norm
203,1/1/24 6:00,PN,MIDATL,PN,1630.402,2024-01-01 06:00:00,"(1, 1)",Monday,-1.8882386462020555
204,1/1/24 6:00,PS,MIDATL,PS,4075.134,2024-01-01 06:00:00,"(1, 1)",Monday,-1.3788233887805348
205,1/1/24 6:00,RECO,MIDATL,RECO,129.128,2024-01-01 06:00:00,"(1, 1)",Monday,-1.2902273526531123
206,1/1/24 6:00,SMECO,MIDATL,PEP,466.62,2024-01-01 06:00:00,"(1, 1)",Monday,-0.11035342312530481
207,1/1/24 6:00,UGI,MIDATL,PL,110.8,2024-01-01 06:00:00,"(1, 1)",Monday,-1.4178721936190504
208,1/1/24 6:00,VMEU,MIDATL,AE,65.457,2024-01-01 06:00:00,"(1, 1)",Monday,-1.1401623939358694
209,1/1/24 6:00,RTO,RTO,RTO,82833.687,2024-01-01 06:00:00,"(1, 1)",Monday,-1.1496271584256272
210,1/1/24 7:00,AECO,MIDATL,AE,897.426,2024-01-01 07:00:00,"(1, 1)",Monday,-0.6787331241342371
211,1/1/24 7:00,AEPAPT,WEST,AEP,4687.096,2024-01-01 07:00:00,"(1, 1)",Monday,-0.28624668124962016
212,1/1/24 7:00,AEPIMP,WEST,AEP,2571.377,2024-01-01 07:00:00,"(1, 1)",Monday,-2.0083892023728414
213,1/1/24 7:00,AEPKPT,WEST,AEP,736.248,2024-01-01 07:00:00,"(1, 1)",Monday,-0.18625556327253912
214,1/1/24 7:00,AEPOPT,WEST,AEP,6174.027,2024-01-01 07:00:00,"(1, 1)",Monday,-1.1329954116496948
215,1/1/24 7:00,AP,WEST,AP,5570.004,2024-01-01 07:00:00,"(1, 1)",Monday,-0.8050750384120043
216,1/1/24 7:00,BC,MIDATL,BC,3310.526,2024-01-01 07:00:00,"(1, 1)",Monday,-0.7343564663472937
217,1/1/24 7:00,CE,WEST,CE,9098.66,2024-01-01 07:00:00,"(1, 1)",Monday,-1.2434137362048903
218,1/1/24 7:00,DAY,WEST,DAY,1745.0,2024-01-01 07:00:00,"(1, 1)",Monday,-1.241041743104487
